Timestamp, Pressure, Pressure1, Pressure2, Pressure3, Flow, Flow1, Flow2, Flow3, ActiveEnergy, ActivePowerL1, ActivePowerL2, ActivePowerL3, ActivePowerTotal, ApparentEnergy, ApparentPowerL1, ApparentPowerL2, ApparentPowerL3, ApparentPowerTotal, CurrentL1, CurrentL2, CurrentL3, PowerFactorL1, PowerFactorL2, PowerFactorL3, ReactiveEnergy, ReactivePowerL1, ReactivePowerL2, ReactivePowerL3, ReactivePowerTotal, VoltageL1, VoltageL2, VoltageL3
1:22:29,6.038,6.038,6.038,6.038,7.613,0,7.613,0,165646.953,54.235,46.17,26.364,126.769,263632.969,80.747,65.998,0.672,189.078,0.344,0.281,0.18,0.672,0.697,0.623,null,-47.048,-32.836,-20.36,-100.244,234.775,234.652,234.628
1:22:30,6.039,6.039,6.039,6.039,2.799,0,2.799,0,165646.969,54.144,38.944,26.447,119.536,263633,80.636,58.178,0.671,181.337,0.343,0.248,0.181,0.671,0.669,0.622,null,-46.987,-29.99,-20.399,-97.376,234.818,234.694,234.67
1:22:31,6.044,6.044,6.044,6.044,1.633,0,1.633,0,165646.984,54.132,38.305,26.463,118.901,263633,80.572,57.526,0.672,180.557,0.343,0.245,0.181,0.672,0.666,0.623,null,-46.964,-29.735,-20.384,-97.083,234.741,234.617,234.594
1:22:32,6.047,6.047,6.047,6.047,4.016,0,4.016,0,165647,54.109,39.245,26.438,119.792,263633.031,80.622,58.522,0.671,181.681,0.344,0.25,0.181,0.671,0.671,0.622,null,-46.988,-30.354,-20.419,-97.761,234.661,234.537,234.514
1:22:33,6.047,6.047,6.047,6.047,4.016,0,4.016,0,165647,54.109,39.245,26.438,119.792,263633.031,80.622,58.522,0.671,181.681,0.344,0.25,0.181,0.671,0.671,0.622,null,-46.988,-30.354,-20.419,-97.761,234.661,234.537,234.514
1:22:34,6.163,6.163,6.163,6.163,0,0,0,0,165647.016,54.163,64.575,26.322,145.06,263633.094,80.651,86.405,0.672,209.401,0.344,0.369,0.181,0.672,0.732,0.622,null,-47.026,-41.051,-20.338,-108.415,234.6,234.476,234.452
1:22:35,6.111,6.111,6.111,6.111,0,0,0,0,165647.094,54.088,80.991,29.924,165.003,263633.25,80.519,99.648,0.672,227.532,0.343,0.425,0.202,0.672,0.813,0.628,null,-46.917,-46.038,-22.426,-115.381,234.811,234.687,234.663
1:22:36,6.174,6.174,6.174,6.174,0,0,0,0,165647.109,54.15,79.683,49.71,183.543,263633.281,80.587,98.361,0.672,249.709,0.343,0.419,0.302,0.672,0.81,0.703,null,-46.955,-45.756,-30.184,-122.896,234.789,234.664,234.641
1:22:37,6.174,6.174,6.174,6.174,0,0,0,0,165647.109,54.15,79.683,49.71,183.543,263633.281,80.587,98.361,0.672,249.709,0.343,0.419,0.302,0.672,0.81,0.703,null,-46.955,-45.756,-30.184,-122.896,234.789,234.664,234.641
1:22:38,6.196,6.196,6.196,6.196,0,0,0,0,165647.375,54.261,53.017,54.237,161.515,263633.688,80.76,72.116,0.672,227.833,0.344,0.307,0.319,0.672,0.735,0.722,null,-47.047,-36.363,-32.325,-115.734,234.913,234.789,234.765
1:22:39,6.201,6.201,6.201,6.201,0,0,0,0,165647.375,54.229,41.132,57.59,152.951,263633.688,80.679,60.678,0.672,217.043,0.343,0.258,0.322,0.672,0.673,0.761,null,-46.997,-31.022,-34.601,-112.62,234.89,234.766,234.742
1:22:40,6.201,6.201,6.201,6.201,0,0,0,0,165647.375,54.229,41.132,57.59,152.951,263633.688,80.679,60.678,0.672,217.043,0.343,0.258,0.322,0.672,0.673,0.761,null,-46.997,-31.022,-34.601,-112.62,234.89,234.766,234.742
1:22:41,6.201,6.201,6.201,6.201,0,0,0,0,165647.375,54.229,41.132,57.59,152.951,263633.688,80.679,60.678,0.672,217.043,0.343,0.258,0.322,0.672,0.673,0.761,null,-46.997,-31.022,-34.601,-112.62,234.89,234.766,234.742
